Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,1063.4201130805,1198.5070827196,1483.5159798031,1789.5895677819,2023.3999499184,2268.789977588,2542.5272702175,2946.2403938049,3452.5225119075,4220.961620546,4969.7818829958,5944.6708929694,6585.8402416104,6889.0049489336,7156.8534228733,7296.551772665,7652.102973745,8218.5974789469,7841.4640342947,8379.5767391658,8755.1564994547,9115.2345317227,9363.1866398544,9932.0296813851,9414.1605912201,9443.0635905653,9801.966934687,10419.3111321775,11452.7387771176,12812.7644376195,14350.918887831,14797.3684231605,13082.2816597386,12174.6978594572,11931.2041070835,12517.5579290917,12194.6087607071,12946.9869363675,13659.1479142644,14462.1762794658,
Australia,AUS,GDP per capita (current US$),NY.GDP.PCAP.CD,1809.3114517085,1876.0141199763,1853.6142475178,1965.991477158,2130.1744597839,2279.8203192394,2342.168925132,2578.2778021197,2721.9477876753,2989.415343585,3302.5295732475,3492.5493708481,3946.5359848901,4766.9798881366,6478.6425126561,6998.2398688071,7480.5215262661,7769.5966799373,8246.3178455522,9287.1586253643,10201.978299827,11844.6325389079,12778.662566817,11528.1681004488,12448.7837250425,11452.6568883783,11379.5233690545,11643.9471829433,14283.3844458253,17838.3631204428,18249.2884923718,18865.3435224098,18616.320805516,17681.1468732669,18102.3175565572,20384.6692890518,21944.1550635542,23551.2221690706,21365.9814072816,20561.4767826095,21690.9209985418,19517.8416767171,20081.817625797,23465.3855857164,30472.3797728289,34016.7148304822,36118.2838130869,40991.9828858155,49664.6850434485,42742.9989811703,51874.0804819957,62245.100292102,67677.6347662796,67792.3038620501,62214.6091207999,56554.0387612447,49927.8195094751,
Austria,AUT,GDP per capita (current US$),NY.GDP.PCAP.CD,935.4604268504,1031.8150043291,1087.8342434189,1167.0005324459,1269.4125828926,1374.5321398608,1486.9686060057,1569.6671828997,1677.6735280427,1825.3861255212,2058.7690792261,2380.9784433325,2924.0488711006,3890.7224564763,4630.7572070671,5285.6207241412,5678.3866378227,6810.6277286986,8205.4689270282,9793.7653072463,10869.5464236099,9385.2490183215,9410.3472245799,9537.4074305641,8991.0650760102,9172.0967688098,13083.0726978243,16392.7695665813,17578.6189397397,17468.9461918554,21680.9896863626,22410.9117362704,24880.164070125,24081.5278077646,25646.7006591684,30325.8495818396,29809.0767730821,26705.4785993891,27361.8751106437,27174.2971559775,24564.4582948404,24537.5142629883,26401.7454564357,32222.8972411655,36821.5214680093,38403.1338770715,40635.2818159724,46855.7717452095,51708.7657541758,47963.1794023217,46858.0432733717,51374.9584066934,48567.69528642,50719.3882770685,51733.4819170733,44255.5833562366,44676.3458346472,
Azerbaijan,AZE,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1237.324491677,1209.2374928496,676.1515114525,530.0903798068,436.190558582,397.1981161172,409.2167452168,505.5605732289,561.9103017355,573.8902561721,655.0974326026,703.6838434327,763.0730858471,883.6439965472,1045.02162987,1578.402390296,2473.0857763684,3851.4378687117,5574.6038021861,4950.2947914238,5842.8057835858,7189.6912292077,7496.3357279968,7875.7569525429,7891.2997755885,5500.3103824441,3876.9364326427,
Burundi,BDI,GDP per capita (current US$),NY.GDP.PCAP.CD,70.3490786065,71.4872777291,73.7817649496,78.9002836003,86.6031946365,51.6573646771,52.4767229562,55.1316867125,55.2434041878,56.0788814179,70.2431270893,72.1295529413,69.639192547,85.0470001459,95.4139510509,114.6635856321,119.9073909207,143.2891278369,155.9176618429,194.9753860695,223.4072261815,229.458186673,233.8176710365,243.4238066397,215.9441862753,244.568937521,248.2101339269,226.8497157851,210.7500958902,210.9695202922,209.0516151612,210.6438771995,191.3109129814,162.6352249535,157.5430014566,167.7991716762,143.8532932872,159.1755281232,144.4746121911,128.6964397439,135.9984454657,133.7427689265,122.4335892964,112.8493702922,127.4296648033,150.5070433688,165.8794175614,170.7999004718,196.2472628314,204.9446501898,231.1943256492,260.4799073382,265.2856051313,282.7555252082,312.748979387,300.676556924,285.7274420647,
Belgium,BEL,GDP per capita (current US$),NY.GDP.PCAP.CD,1273.6916591029,1350.1976733312,1438.5232330684,1535.0237290104,1701.8462755432,1835.5947655319,1957.6260804276,2086.6360054465,2222.3615105191,2458.0818200377,2780.6961867833,3099.4301579454,3852.1417293329,4927.1959234948,5764.4898831925,6737.2482506932,7281.8177353643,8472.0544682791,10344.8471326448,11873.8354044821,12932.8605964577,10679.6638923607,9393.8766919308,8893.58613004,8502.5385967587,8797.6596788614,12235.1841374482,15216.8710172156,16478.831592157,16613.516652258,20710.6443430806,21154.2918385501,23497.7274067423,22403.2168180008,24338.1377018161,28565.9191516066,27701.903287059,25027.7445890682,25541.6747233656,25444.1392583071,23207.4059110078,23121.6011440246,25052.3393900855,30743.9025377208,35589.6891168402,36967.2591839688,38852.3729277437,44403.7668991523,48424.5755963147,44880.5730196227,44380.1766327308,47702.8118941685,44740.5832481477,46582.6695503412,47379.1739168858,40375.3886393001,41236.2665889277,
Benin,BEN,GDP per capita (current US$),NY.GDP.PCAP.CD,93.0225089907,95.5721547147,94.4645349844,99.8591138856,104.3397680399,110.1327938351,112.9408363835,111.9516019252,116.8950660219,116.0250943412,114.556596467,112.5700890876,134.819407935,161.9873736714,174.0141490856,207.3004397455,208.6561538305,218.4543657692,263.5810575509,327.8216779938,378.0438983039,337.9781947392,322.7776994534,271.1292402252,252.8697850448,244.4109988585,303.3488978583,344.5030707918,346.7360376814,311.6783038608,393.6862144235,385.7536160126,317.9628552861,411.9260305223,279.6665043268,367.3873410326,387.4329246363,361.1002697944,379.4423539545,403.6237038392,374.1923941592,378.7360539764,418.6985763471,519.2922846612,583.4093514307,601.7999769589,625.8300919765,706.0535419007,820.1513498193,793.4524300307,757.6959074094,825.9427853632,837.9505000754,915.2674585964,943.6865750314,783.9470909524,789.4404106856,
Burkina Faso,BFA,GDP per capita (current US$),NY.GDP.PCAP.CD,68.4247485693,71.5581800924,76.5206113987,78.3720719424,80.4727667455,81.7251154955,82.5456368947,84.3631649404,84.7330493469,86.5202111123,81.4998986817,84.287815014,99.326764025,113.7805843388,124.3590304515,152.7282201142,155.6489979603,176.7833676663,225.9416525372,262.0760096422,282.6857352996,254.2307806751,245.094702439,217.9947508428,193.8432402847,200.8944225118,256.7623188086,291.1319638809,313.0618910957,304.8534387815,351.9793228525,346.4106724424,240.9634809804,244.1270734994,193.0702362988,235.8321972998,249.3602944156,229.4931177354,255.7182333817,265.3401155536,226.475981367,235.4912324362,260.7635413197,332.3443050656,371.323086483,406.9988070606,422.6332373602,475.1100121845,569.7612784202,552.7455521064,575.4464526877,666.8404100555,673.8228182266,699.7815370165,703.8216564617,575.3144541763,627.1030787533,
Bangladesh,BGD,GDP per capita (current US$),NY.GDP.PCAP.CD,88.6912106295,97.1427301802,99.5767136535,101.2604912339,99.5038642673,105.7891703437,111.6586394823,121.6620933802,121.5288976809,133.5754367468,138.2479646778,131.7557631797,93.0248701122,117.7258148821,179.045064976,272.7451978072,138.5922339318,128.8092611115,172.4146960397,196.4426256054,222.6323509486,241.8703692167,215.3932576003,199.3366454083,208.5346350842,239.0392204637,227.4230255688,247.0723119751,263.2227904511,277.8178390722,297.5679944525,284.7255997966,285.0954993694,291.7144952418,290.6524639532,319.6086943559,382.9357492586,389.5236244263,395.2974606698,397.3548218722,405.6033071418,402.5981151516,400.6135745334,432.7388972408,460.7579167304,484.155407058,494.0501465765,541.0651483951,615.7775410531,681.120536769,757.6717571769,835.7893401274,856.3428570274,951.8894534563,1084.5654298027,1210.1587693976,1358.7790288454,
Bulgaria,BGR,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,2238.8029578657,2234.8148157313,2169.0040108968,1852.813434428,1963.5726761827,1914.5506465879,2260.4272811545,3132.3013603625,2511.3930625949,2477.0208179596,2366.5298212861,1267.7343754149,1211.9808781093,1278.2471734611,1148.4943993817,1554.0469305143,1208.8502331198,1346.9127703109,1771.993942735,1643.6098949729,1609.2805861652,1764.9073865327,2087.5348425058,2710.4680235732,3381.5078365613,3893.6899804991,4513.1362795438,5932.8996765932,7261.7544920028,6969.5585566836,6843.2632888532,7813.8034994617,7378.0255394416,7674.8605591403,7853.3351908622,6993.4773597573,7469.025246802,
